Status,Address,S/A,Price,For Tax Year,Gross Taxes,Sold Date,Days On Market,Age,Area,Total Bedrooms,Total Baths,Lot Sz (Sq.Ft.),Floor Area -Grand Total,Original Price,List Price,Driveway Finish,Floor Area - Unfinished,GST Incl,Foundation,Floor Area Fin - Basement,Zoning,Parking Places - Covered,# Rms,No. Floor Levels,Frontage - Feet,Depth,Type,Public Remarks
S,20 12662 112 AVE AVENUE,F21,"$90,000 ",2020,$86.77 ,4/1/2021,17,50,North Surrey,1,1,0,720,"$95,000 ","$95,000 ",,0,,Concrete Block,0,MHR,0,3,1,,,Manufactured,"Phillip manufactured home park. Great location close to transit, south permitter rd. and Pattullo bridge. Home has lots of upgrades New windows, new floors, new paint in side and out, new fridge & stove and hot water tank. pad rent $605 includes cable, water, sewer and garbage. Large storage container for bikes ect."
S,13056 115B AVENUE,F21,"$305,000 ",2019,"$1,753.04 ",2/1/2021,105,79,North Surrey,2,1,"2,500.00",835,"$347,500 ","$347,500 ",,0,,Concrete Perimeter,0,4-Jan,5,4,1,25,,House/Single Family,"Amazing opportunity for first time buyers - Look no further! ZONING - Industrial.This could be the perfect property for you to own your own single family home. Located across from the street from Tim Hortons, liquor store, and walking distance to bus stop. and minutes away from New Westminster and Surrey. Lots sold together 001-440-101 & 001-440-110. Both lots together come to $695,000 in total. Both PDI's need to be sold together. Property sold as is."
S,13052 115B AVENUE,F21,"$305,000 ",2019,"$1,753.04 ",2/1/2021,105,79,North Surrey,2,1,"2,500.00",835,"$347,500 ","$347,500 ",,0,,Concrete Perimeter,0,4-Jan,5,4,1,25,,House/Single Family,"Amazing opportunity for first time buyers - Look no further! ZONING - Industrial.This could be the perfect property for you to own your own single family home. Located across from the street from Tim Hortons, liquor store, and walking distance to bus stop. and minutes away from New Westminster and Surrey. Lots sold together 001-440-101 & 001-440-110. Both lots together come to $695,000 in total. Both PDI's need to be sold together. Property sold as is."
S,13925 116 AVENUE,F22,"$620,000 ",2019,"$2,948.26 ",12/28/2020,224,63,North Surrey,3,1,"9,715.00","1,600","$649,000 ","$649,000 ",,800,,Concrete Perimeter,0,SFD,1,7,2,90,108,House/Single Family,"BUILDER and INVESTOR ALERT! Land value only. SOLD AS IS, WHERE IS. Large size property. Services at lot line. Over 9,700 sf lot with easy access to both Port Mann and Pattullo Bridges. Guildford Town Centre Mall, Hwy #1 and Scott Road Sky Train Station just minutes away. LOCATION, LOCATION!"
S,14524 116A AVENUE,F22,"$657,000 ",2020,"$2,386.14 ",2/25/2021,14,74,North Surrey,2,1,"3,807.00",885,"$625,000 ","$625,000 ",,0,,Concrete Perimeter,0,RA,,5,1,31.7,120,House/Single Family,"Welcome home to the new renovated single detached home that offers a spacious southern backyard that backs onto the quiet Victoria Park! The perfect home to relax and entertain friends in the backyard with no neighbors to the front or to the back which gives the ultimate privacy. Great opportunity for first time home buyers or people looking to downsize. This home offers 2 bed + den & 1 bath that's been newly renovated in 2020 for the bathroom, kitchen with a beautiful window looking out to greenery, all rooms, updated with all new appliances & has double glazed windows! House is using septic tank system & has just been professionally cleaned on March 13, 2019 with receipt! Easy access to Port Mann Bridge. This is BETTER than OWNING A TOWNHOME! Call for a private showing today!"
S,12698 114 AVENUE,F21,"$675,000 ",2020,"$2,349.85 ",2/8/2021,0,75,North Surrey,2,1,"5,000.00",839,"$679,000 ","$679,000 ",,0,,Other,0,RF,,3,1,50,0,House/Single Family,Land value only property. Build your dream home on this 5000 square feet lot in Surrey. An area with new homes coming up fast. Close to Scott Road Skytrain Station and Home Depot. Bring your ideas as this one will not last long.
S,12761 115A AVENUE,F21,"$699,000 ",2020,"$1,810.63 ",12/9/2020,51,75,North Surrey,3,2,"5,017.00",874,"$699,900 ","$699,900 ",Asphalt,0,,Concrete Perimeter,0,RF,,5,1,50.13,100,House/Single Family,"Why settle for a condo when you can get a fully renovated single family home with a yard at the same price! The whole house was stripped down to studs and fully renovated with all plumbing and electrical replaced from service connection within the last 10 years. Renovations incl. new roof, window, doors, and flooring. Kitchen received a vaulted ceiling and new S/S appliances with new cabinets and countertop. 2018 Bosche Washer/Dryer. Telus Fiber and security system installed with new driveway paved last year in 2019. Fully move in ready, this 3 bedroom house is the perfect starter home, hang out on the sundeck while watching the kids and dog play in the big grass backyard, close to Skytrain. Come check out the perfect starter home, contact your realtor for private viewings."
S,12743 112B AVENUE,F21,"$715,000 ",2020,"$2,352.00 ",5/1/2021,10,999,North Surrey,1,1,"5,000.00","1,000","$650,000 ","$650,000 ",,0,,Concrete Perimeter,0,RF,,5,2,50,100,House/Single Family,"For more information, click Brochure button below. Older home in great location. Hold and enjoy rental income while you wait to build. Newer roof. Fenced yard."
S,12441 113 AVENUE,F21,"$739,000 ",2020,"$2,630.18 ",12/3/2020,17,70,North Surrey,3,1,"7,320.00",868,"$739,000 ","$739,000 ",Gravel,0,,Concrete Block,0,SFD,0,6,1,60,122,House/Single Family,"This Beautifully renovated house has 3 bedrooms, 1 bathroom with 2 nice covered decks which are very easy to convert into another one or two bedrooms, Huge flat yard will make you a nice flower or Vege garden. Close to Sky Train, King George Blvd and Hwy 17. Playground and schools are nearby. Great family home with solid investment. Come to see and price to go!"
S,12497 114 AVENUE,F21,"$760,000 ",2020,"$2,463.59 ",12/14/2020,10,999,North Surrey,3,2,"5,419.00","1,050","$745,000 ","$745,000 ",,0,,Concrete Perimeter,0,SFD,,6,1,55,,House/Single Family,"This well Kept Rancher on over 5400 sqft lot is an excellent starter home, better value than a town house. This is a must see home featuring updated kitchen, stainless steel appliances  Bathrooms, Roof & flooring in the developing neighbourhood with lots of potential. Don't miss this opportunity. "
S,10091 PARK DRIVE,F25,"$762,800 ",2020,"$2,948.89 ",12/29/2020,8,999,North Surrey,3,2,"7,380.00","2,040","$699,000 ","$699,000 ",,0,,Concrete Perimeter,0,CD,5,9,2,60,122,House/Single Family,"WELCOEM TO THE CEDAR HILL !!Listen to Mother nature's music from the back yard of this family home located in quiet St. Helen's Park. Features include 3 bedrooms,2 bathrooms  2 kitchens, hardwood floors, and large covered sundeck overlooking green-space giving total privacy.  windows, furnace and hot water tank REPLACED IN 2008 , Great investment or starter home. It's a handyman specials required TLC FIRST SHOING STARTS  DECEMBER 28TH,2020 BETWEEN 12 PM -5:30 PM All offers to be submitted by e-mail before 10AM  TUESDAY DECEMBER 29TH,2020  "
S,10445 140B STREET,F26,"$765,000 ",2019,"$3,684.05 ",1/25/2021,252,71,North Surrey,1,1,"7,587.00",845,"$699,999 ","$699,999 ",,0,,Concrete Perimeter,0,RF,,5,1,61,123,House/Single Family,"Builder and investor alert!! Central location, BC Assessment Value is $949K! Big lot size good for future develop. Cozy home with yard, close to Hawthorn Park, shopping, transportation and Surrey Central Mall. It is ideal property to rent and hold or build. Quiet inner street.  Tennated fixed term till end of 2021.***Subject removed.***"
S,12699 114A AVENUE,F21,"$765,000 ",2020,"$2,397.55 ",1/25/2021,3,73,North Surrey,3,1,"5,000.00",928,"$754,000 ","$754,000 ",,0,,Concrete Slab,0,RF,2,5,1,50,,House/Single Family,Investor or first time buyers dream! This 3 bedroom rancher is the perfect place to call home. New kitchen appliance and great sized bedrooms with an open backyard to enjoy. Featuring a detached workshop with a wood burning stove and ample parking. Walking distance from Bridgeview Elementary School and Bridgeview park. Book a showing to see your new home!
