Status,Address,S/A,Price,For Tax Year,Gross Taxes,Sold Date,Days On Market,Age,Area,Total Bedrooms,Total Baths,Lot Sz (Sq.Ft.),Floor Area -Grand Total,Original Price,List Price,Driveway Finish,Floor Area - Unfinished,GST Incl,Foundation,Floor Area Fin - Basement,Zoning,Parking Places - Covered,# Rms,No. Floor Levels,Frontage - Feet,Depth,Type,Public Remarks
S,101 7790 KING GEORGE BOULEVARD,F37,"$27,000 ",2019,$108.01 ,7/8/2020,24,46,Surrey,2,1,0,810,"$50,000 ","$50,000 ",,0,,Concrete Block,0,MHR,1,5,1,,,Manufactured,CRISPEN BAYS. Family park in great location. handy man special- home is as is were is. Needs lots work!!!
S,3 16039 FRASER HIGHWAY,F34,"$38,500 ",2019,$126.52 ,8/2/2020,9,49,Surrey,3,1,0,720,"$50,000 ","$50,000 ",,0,,Concrete Block,0,MHR,1,5,1,,,Manufactured,Great location - central to everything in fleetwwod. Home is outdated and needs work. pets ok pad rent is $574 per month
S,8 8266 KING GEORGE BOULEVARD,F36,"$51,000 ",2019,$75.09 ,7/13/2020,35,44,Surrey,2,1,0,744,"$68,800 ","$59,800 ",,0,,Other,0,MHP,1,6,1,30,80,Manufactured,"PLAZA MANUFACTURED HOME PARK: Well maintained single wide, in well managed park. Includes: fridge, stove, dishwasher, washer, dryer, newer gas furnace & storage shed. One small pet ok. Pad rent only $726 per month."
S,2 6280 KING GEORGE BOULEVARD,F39,"$51,000 ",2019,$131.62 ,9/22/2020,90,50,Surrey,1,1,0,624,"$74,800 ","$64,800 ",Asphalt,0,,Other,0,MHP,1,5,1,30,70,Manufactured,"WHITE OAKS: Well maintained single wide in quiet 50+ age restricted park. Includes: washer, dryer, fridge, stove & central air conditioning, updated gas furnace, electrical system has been upgraded to new silver label (E.I.# 39628). Security gate and private entry for residents. One small pet ok.  Pad rent only $649 per month."
S,74 7790 KING GEORGE BOULEVARD,F37,"$57,000 ",2019,$102.22 ,8/22/2020,4,45,Surrey,3,1,0,720,"$57,000 ","$57,000 ",,0,,Concrete Block,0,MHP,1,5,1,,,Manufactured,"Discover! Crispen Bays Premier Park. Family, 2 small pets ok (17 in height at should under 35 pounds). Proven features include the following: new hot water tank, new stainless steel appliances, roof 7 years old, 5 appliances, A/C unit. From previous reno 2012 you will love the laminate flooring, kitchen cupboards, plumbing fixtures, light fixtures and counter tops. Parking for 3 cars side by side. Move in tommorrow."
S,20 9132 120 STREET,F31,"$62,000 ",2019,$54.95 ,7/18/2020,68,52,Surrey,2,1,0,780,"$89,000 ","$89,000 ",,0,,Other,0,CTA,1,8,1,0,,Manufactured,"Manufactured home 2BR 1BTH at convenient location in a great community, Scott Plaza Trailer Park.  Upgraded kitchen with white cabinets and a stainless steel fridge, spacious mud room, laminated flooring, wood burning heater.   Over 300 sqft of covered storage. Great location, easy access to bus stop,  Scott Road Skytrain Station, Central City Shopping, Patullo & Alex Fraser Bridge are minutes away and at walking distance to Kirkbride Elementary, at close proximity to restaurants, shops, Kennedy Park & Save On Foods.  Affordable PAD rental $595/mth."
S,21 7790 KING GEORGE BOULEVARD,F37,"$69,200 ",2019,$128.12 ,7/3/2020,8,45,Surrey,2,1,0,720,"$68,000 ","$68,000 ",Other,0,No,Other,0,MHR,1,4,1,,,Manufactured,"VERY DESIRABLE CRISPEN BAYS FAMILY PARK! Affordable 2 bedroom end unit across from green space, perfect for pets or children, great location! Some updating has been done, beautiful yard, very peaceful setting. Immaculate and well maintained park features an outdoor pool, clubhouse and playground. Very friendly community where your 2 small pets are welcome. Transit at park entrance, short walk to shopping, schools, restaurants, pubs, coffee shops with short bus ride to skytrain. If your looking for an option to a strata property with all the strata rules and regulations, this is a great alternative! Appointments are flexible, check it out!"
S,44 8220 KING GEORGE BOULEVARD,F32,"$75,000 ",2019,$41.85 ,6/20/2020,99,47,Surrey,3,1,0,684,"$78,800 ","$78,800 ",Asphalt,0,,Other,0,MHP,1,5,1,,,Manufactured,"Worth a look! 3 Bedroom home in centrally located, family oriented Crestway Bays. This home is clean, has large 12x11 covered deck and room for your garden in the spacious yard plus a 7x4 shed for storage. Kitchen boasts Modern Gas Range, Good size Fridge, Ample cupboards. There are plenty of windows throughout allowing natural light in. Roof was re-coated approx. 7 yrs ago, furnace is not the original, a CSA Sticker was obtained before the home was sold to the current owner. The children's playground is within view of the home. Ownership is now within your reach. Enjoy you own space and private place. Come, view and invest in yourself-your new home and lifestyle awaits. (2 smaller bedrooms can be transformed into one huge bedroom at your leisure). Park Approval required Pad $940.24"
S,4 7850 KING GEORGE BOULEVARD,F37,"$80,000 ",2019,$117.00 ,9/22/2020,28,44,Surrey,2,1,0,866,"$84,900 ","$84,900 ",Asphalt,0,,Other,0,MHP,1,8,1,,,Manufactured,"Bear Creek Glen - Adult oriented 55+ mobile park located just steps to shopping and transportation. Extremely well run, clean property, which will allow 1 small pet. This bright,clean single mobile features 2 bedrooms and small den, large kitchen and eating area with glass sliders out onto a cozy 12' by 10' covered patio area. Covered parking for 1 with additional spot as well. Detached 11'6 by 9'6 workshop with power. Additional covered outdoor storage area as well.OPEN HOUSE (By Appointment Only) Saturday September 19th NOON to 2pm"
S,22 13507 81 AVENUE,F31,"$89,900 ",2019,"$1,070.32 ",10/6/2020,20,34,Surrey,2,1,0,"1,024","$89,900 ","$89,900 ",Asphalt,0,,Other,0,MHR,2,5,1,,,Manufactured,"Park Boulevard Estates, a 45 + gated community with beautiful landscaped gardens, koi ponds and water fountains. This single wide 1,024sqft 2-bedroom home has vaulted ceilings, an open layout, a cozy gas fireplace in the living room, a solarium, and a 10’ x 8’ wired detached workshop. A well-managed complex that allows 1 small dog and 2 indoor cats. Close to shopping, restaurants, and transit. Call to book your showing today."
